Wavelength;Reflectance;Sigma
1106.00000;0.437198;0.02
1107.00000;0.441551;0.02
1108.00000;0.434312;0.02
1109.00000;0.447534;0.02
1110.00000;0.448382;0.02
1111.00000;0.445357;0.02
1112.00000;0.422362;0.02
1113.00000;0.405218;0.02
1114.00000;0.397037;0.02
1115.00000;0.370478;0.02
1116.00000;0.351882;0.02
1117.00000;0.297866;0.02
1118.00000;0.253746;0.02
1119.00000;0.233761;0.02
1120.00000;0.201557;0.02
1121.00000;0.196249;0.02
1122.00000;0.171419;0.02
1123.00000;0.185324;0.02
1124.00000;0.195298;0.02
1125.00000;0.190754;0.02
1126.00000;0.188933;0.02
1127.00000;0.191254;0.02
1128.00000;0.191839;0.02
1129.00000;0.220033;0.02
1130.00000;0.289446;0.02
1131.00000;0.3195;0.02
1132.00000;0.288901;0.02
1133.00000;0.235617;0.02
1134.00000;0.153841;0.02
1135.00000;0.160769;0.02
1136.00000;0.243246;0.02
1137.00000;0.293045;0.02
1138.00000;0.345899;0.02
1139.00000;0.356926;0.02
1140.00000;0.349526;0.02
1141.00000;0.333137;0.02
1142.00000;0.325876;0.02
1143.00000;0.307841;0.02
1144.00000;0.275719;0.02
1145.00000;0.245126;0.02
1146.00000;0.255092;0.02
1147.00000;0.280777;0.02
1148.00000;0.306575;0.02
1149.00000;0.316726;0.02
1150.00000;0.316018;0.02
1151.00000;0.331494;0.02
1152.00000;0.334527;0.02
1153.00000;0.347561;0.02
1154.00000;0.350449;0.02
1155.00000;0.365763;0.02
1156.00000;0.382823;0.02
1157.00000;0.421392;0.02
1158.00000;0.435356;0.02
1159.00000;0.449615;0.02
1160.00000;0.457976;0.02
1161.00000;0.47175;0.02
1162.00000;0.485252;0.02
1163.00000;0.498991;0.02
1164.00000;0.505629;0.02
1165.00000;0.503479;0.02
1166.00000;0.503576;0.02
1167.00000;0.510459;0.02
1168.00000;0.50765;0.02
1169.00000;0.509915;0.02
1170.00000;0.510453;0.02
1171.00000;0.519104;0.02
1172.00000;0.517822;0.02
1173.00000;0.51284;0.02
1174.00000;0.511793;0.02
1175.00000;0.523186;0.02
1176.00000;0.52996;0.02
1177.00000;0.525138;0.02
1178.00000;0.520079;0.02
1179.00000;0.513383;0.02
1180.00000;0.516672;0.02
1181.00000;0.505828;0.02
1182.00000;0.50361;0.02
1183.00000;0.504004;0.02
1184.00000;0.502363;0.02
1185.00000;0.517947;0.02
1186.00000;0.509055;0.02
1187.00000;0.503198;0.02
1188.00000;0.500704;0.02
1189.00000;0.508358;0.02
1190.00000;0.522654;0.02
1191.00000;0.531294;0.02
1192.00000;0.538404;0.02
1193.00000;0.538903;0.02
1194.00000;0.539545;0.02
1195.00000;0.531846;0.02
1196.00000;0.53007;0.02
1197.00000;0.529663;0.02
1198.00000;0.527866;0.02
1199.00000;0.523961;0.02
1200.00000;0.52811;0.02
1201.00000;0.522439;0.02
1202.00000;0.525354;0.02
1203.00000;0.516563;0.02
1204.00000;0.515333;0.02
1205.00000;0.533136;0.02
1206.00000;0.535196;0.02
1207.00000;0.539864;0.02
1208.00000;0.537926;0.02
1209.00000;0.536326;0.02
1210.00000;0.52825;0.02
1211.00000;0.533494;0.02
1212.00000;0.532168;0.02
1213.00000;0.539155;0.02
1214.00000;0.543092;0.02
1215.00000;0.544493;0.02
1216.00000;0.547471;0.02
1217.00000;0.553574;0.02
1218.00000;0.546864;0.02
1219.00000;0.549791;0.02
1220.00000;0.553792;0.02
1221.00000;0.55067;0.02
1222.00000;0.557818;0.02
1223.00000;0.552071;0.02
1224.00000;0.55817;0.02
1225.00000;0.561329;0.02
1226.00000;0.566425;0.02
1227.00000;0.559783;0.02
1228.00000;0.562958;0.02
1229.00000;0.574056;0.02
1230.00000;0.573483;0.02
1231.00000;0.572705;0.02
1232.00000;0.568828;0.02
1233.00000;0.574911;0.02
1234.00000;0.573153;0.02
1235.00000;0.580222;0.02
1236.00000;0.576608;0.02
1237.00000;0.581229;0.02
1238.00000;0.578041;0.02
1239.00000;0.573813;0.02
1240.00000;0.573857;0.02
1241.00000;0.57822;0.02
1242.00000;0.580458;0.02
1243.00000;0.574157;0.02
1244.00000;0.576032;0.02
1245.00000;0.567493;0.02
1246.00000;0.569308;0.02
1247.00000;0.567337;0.02
1248.00000;0.560457;0.02
1249.00000;0.557182;0.02
1250.00000;0.559024;0.02
1251.00000;0.560135;0.02
1252.00000;0.559772;0.02
1253.00000;0.546788;0.02
1254.00000;0.549618;0.02
1255.00000;0.545431;0.02
1256.00000;0.537559;0.02
1257.00000;0.531972;0.02
1258.00000;0.520695;0.02
1259.00000;0.512891;0.02
1260.00000;0.506065;0.02
1261.00000;0.48944;0.02
1262.00000;0.474986;0.02
1263.00000;0.470383;0.02
1264.00000;0.468027;0.02
1265.00000;0.460064;0.02
1266.00000;0.456023;0.02
1267.00000;0.452823;0.02
1268.00000;0.444579;0.02
1269.00000;0.4422;0.02
1270.00000;0.459964;0.02
1271.00000;0.473889;0.02
1272.00000;0.482788;0.02
1273.00000;0.490635;0.02
1274.00000;0.501925;0.02
1275.00000;0.51144;0.02
1276.00000;0.512406;0.02
1277.00000;0.513773;0.02
1278.00000;0.524857;0.02
1279.00000;0.524165;0.02
1280.00000;0.532783;0.02
1281.00000;0.538106;0.02
1282.00000;0.543776;0.02
1283.00000;0.542346;0.02
1284.00000;0.546257;0.02
1285.00000;0.553015;0.02
1286.00000;0.549817;0.02
1287.00000;0.54607;0.02
1288.00000;0.538727;0.02
1289.00000;0.540721;0.02
1290.00000;0.546595;0.02
1291.00000;0.543808;0.02
1292.00000;0.553613;0.02
1293.00000;0.548197;0.02
1294.00000;0.546914;0.02
1295.00000;0.54396;0.02
1296.00000;0.536374;0.02
1297.00000;0.534194;0.02
1298.00000;0.533057;0.02
1299.00000;0.537277;0.02
1300.00000;0.538114;0.02
1301.00000;0.53073;0.02
1302.00000;0.527624;0.02
1303.00000;0.515631;0.02
1304.00000;0.518838;0.02
1305.00000;0.514879;0.02
1306.00000;0.510612;0.02
