WAVELENGTH;SOLAR_IRRADIANCE
2.762500;35.820000
2.765000;35.690000
2.767500;35.550000
2.770000;35.420000
2.772500;35.280000
2.775000;35.150000
2.777500;35.010000
2.780000;34.880000
2.782500;34.750000
2.785000;34.610000
2.787500;34.470000
2.790000;34.340000
2.792500;34.200000
2.795000;34.070000
2.797500;34.050000
2.800000;34.030000
2.802500;34.030000
2.805000;34.030000
2.807500;33.910000
2.810000;33.790000
2.812500;33.680000
2.815000;33.570000
2.817500;33.460000
2.820000;33.350000
2.822500;33.230000
2.825000;33.120000
2.827500;33.010000
2.830000;32.900000
2.832500;32.780000
2.835000;32.670000
2.837500;32.550000
2.840000;32.440000
2.842500;32.330000
2.845000;32.230000
2.847500;32.110000
2.850000;32.000000
2.852500;31.890000
2.855000;31.770000
2.857500;31.660000
2.860000;31.550000
2.862500;31.430000
2.865000;31.310000
2.867500;31.200000
2.870000;31.100000
2.872500;30.990000
2.875000;30.870000
2.877500;30.760000
2.880000;30.660000
2.882500;30.540000
2.885000;30.420000
2.887500;30.310000
2.890000;30.200000
2.892500;30.080000
2.895000;29.970000
2.897500;29.930000
2.900000;29.900000
2.902500;29.880000
2.905000;29.870000
2.907500;29.760000
2.910000;29.660000
2.912500;29.560000
2.915000;29.460000
2.917500;29.360000
2.920000;29.270000
2.922500;29.170000
2.925000;29.080000
2.927500;28.980000
2.930000;28.880000
2.932500;28.770000
2.935000;28.670000
2.937500;28.580000
2.940000;28.490000
2.942500;28.390000
2.945000;28.300000
2.947500;28.200000
2.950000;28.100000
2.952500;28.000000
2.955000;27.910000
2.957500;27.810000
2.960000;27.710000
2.962500;27.610000
2.965000;27.520000
2.967500;27.410000
2.970000;27.310000
2.972500;27.210000
2.975000;27.120000
2.977500;27.030000
2.980000;26.930000
2.982500;26.830000
2.985000;26.740000
2.987500;26.640000
2.990000;26.540000
2.992500;26.440000
2.995000;26.350000
2.997500;26.330000
3.000000;26.310000
3.002500;26.290000
3.005000;26.280000
3.007500;26.200000
3.010000;26.120000
3.012500;26.040000
3.015000;25.950000
3.017500;25.870000
3.020000;25.790000
3.022500;25.710000
3.025000;25.640000
3.027500;25.540000
3.030000;25.450000
3.032500;25.370000
3.035000;25.300000
3.037500;25.210000
3.040000;25.120000
3.042500;25.050000
3.045000;24.980000
3.047500;24.890000
3.050000;24.800000
3.052500;24.710000
3.055000;24.630000
3.057500;24.550000
3.060000;24.470000
3.062500;24.390000
3.065000;24.310000
3.067500;24.220000
3.070000;24.140000
3.072500;24.050000
3.075000;23.970000
3.077500;23.890000
3.080000;23.810000
3.082500;23.730000
3.085000;23.660000
3.087500;23.560000
3.090000;23.470000
3.092500;23.390000
3.095000;23.310000
3.097500;23.280000
3.100000;23.260000
3.102500;23.230000
3.105000;23.210000
3.107500;23.130000
3.110000;23.060000
3.112500;22.990000
3.115000;22.920000
3.117500;22.840000
3.120000;22.760000
3.122500;22.690000
3.125000;22.630000
3.127500;22.550000
3.130000;22.470000
3.132500;22.410000
3.135000;22.350000
3.137500;22.270000
3.140000;22.190000
3.142500;22.110000
3.145000;22.040000
3.147500;21.970000
3.150000;21.900000
3.152500;21.830000
3.155000;21.760000
3.157500;21.680000
3.160000;21.600000
